信用卡编号,阈值编号,通过率,坏账率,最终收入
75,6,0.84,0.053,19118.4
75,7,0.87,0.055,17922.0
75,8,0.9,0.058,15624.0
75,9,0.91,0.076,-1892.7999999999986
75,10,0.95,0.079,-5054.0000000000055
76,1,0.7,0.007,50708.0
76,2,0.73,0.025,38690.0
76,3,0.78,0.027,39655.2
76,4,0.79,0.03,37604.0
76,5,0.82,0.031,38146.4
76,6,0.87,0.032,39532.8
76,7,0.88,0.044,28582.4
76,8,0.9,0.048,25343.999999999996
76,9,0.94,0.06,14288.000000000005
76,10,0.96,0.067,7334.399999999994
77,1,0.73,0.02,42632.0
77,2,0.74,0.027,37621.6
77,3,0.75,0.03,35700.0
77,4,0.78,0.032,35443.200000000004
77,5,0.83,0.034,35922.4
77,6,0.84,0.041,30004.799999999996
77,7,0.88,0.057,16227.199999999999
77,8,0.89,0.059,14489.200000000003
77,9,0.92,0.068,6035.199999999997
77,10,0.95,0.073,1102.0000000000077
78,1,0.8,0.011,54496.0
78,2,0.82,0.018,49659.200000000004
78,3,0.83,0.024,44886.4
78,4,0.84,0.025,44520.0
78,5,0.9,0.045,28259.999999999996
78,6,0.91,0.057,16780.399999999998
78,7,0.92,0.063,11003.199999999999
78,8,0.94,0.064,10227.2
78,9,0.96,0.065,9407.999999999989
78,10,0.98,0.071,3253.6000000000035
79,1,0.75,0.005,55950.0
79,2,0.77,0.006,56610.4
79,3,0.78,0.009,54818.40000000001
79,4,0.79,0.03,37604.0
79,5,0.81,0.036,33307.200000000004
79,6,0.82,0.041,29290.399999999994
79,7,0.84,0.045,26375.999999999996
79,8,0.87,0.047,25438.799999999996
79,9,0.93,0.048,26188.8
79,10,0.94,0.05,24439.999999999996
80,1,0.71,0.015,45298.0
80,2,0.72,0.026,37382.4
80,3,0.75,0.03,35700.0
80,4,0.77,0.037,30830.8
80,5,0.8,0.049,21663.999999999993
80,6,0.84,0.051,20932.800000000003
80,7,0.85,0.056,16591.999999999996
80,8,0.86,0.062,11214.399999999996
80,9,0.9,0.08,-5760.000000000003
80,10,0.91,0.081,-6806.8
81,1,0.78,0.006,57345.6
81,2,0.79,0.008,56374.40000000001
81,3,0.83,0.011,56539.6
81,4,0.86,0.017,53010.4
81,5,0.87,0.022,48928.799999999996
81,6,0.89,0.033,39480.399999999994
81,7,0.91,0.034,39384.799999999996
81,8,0.93,0.048,26188.8
81,9,0.95,0.056,18543.999999999996
81,10,0.97,0.057,17886.8
82,1,0.72,0.012,48268.8
82,2,0.73,0.027,37113.2
82,3,0.76,0.032,34534.4
82,4,0.79,0.044,25659.2
82,5,0.82,0.05,21319.999999999996
82,6,0.83,0.053,18890.800000000003
82,7,0.87,0.054,18861.6
82,8,0.88,0.074,70.39999999999714
82,9,0.9,0.081,-6732.000000000001
82,10,0.95,0.087,-13262.0
83,1,0.83,0.01,57436.0
83,2,0.84,0.014,54499.2
83,3,0.86,0.015,54867.99999999999
83,4,0.9,0.04,33120.0
83,5,0.92,0.042,31868.799999999996
83,6,0.93,0.043,31210.8
83,7,0.95,0.049,25725.999999999993
83,8,0.96,0.053,21849.600000000002
83,9,0.97,0.066,8458.399999999992
83,10,0.98,0.076,-2038.3999999999985
84,1,0.76,0.006,55875.200000000004
84,2,0.77,0.015,49126.0
84,3,0.78,0.021,44709.6
84,4,0.86,0.031,40007.2
84,5,0.87,0.034,37653.6
84,6,0.88,0.035,37135.99999999999
84,7,0.89,0.048,25062.399999999998
84,8,0.91,0.051,22677.200000000004
84,9,0.92,0.052,21932.8
84,10,0.95,0.059,15466.000000000002
85,1,0.7,0.008,49952.00000000001
85,2,0.72,0.017,44380.8
85,3,0.75,0.021,42990.0
85,4,0.76,0.052,18118.4
85,5,0.8,0.053,18208.000000000004
85,6,0.81,0.056,15811.199999999997
85,7,0.83,0.064,9030.400000000001
85,8,0.85,0.081,-6358.000000000001
85,9,0.9,0.083,-8676.00000000001
85,10,0.94,0.084,-10076.800000000007
86,1,0.73,0.006,53669.6
86,2,0.74,0.007,53605.600000000006
86,3,0.78,0.017,48079.2
86,4,0.79,0.04,29072.0
86,5,0.84,0.041,30004.799999999996
86,6,0.87,0.045,27317.999999999996
86,7,0.9,0.046,27288.0
86,8,0.94,0.059,15303.200000000003
86,9,0.96,0.063,11481.599999999999
86,10,0.97,0.067,7410.799999999994
87,1,0.73,0.018,44208.8
87,2,0.76,0.027,38638.399999999994
87,3,0.8,0.029,38944.0
87,4,0.84,0.033,37262.399999999994
87,5,0.85,0.037,34034.0
87,6,0.86,0.052,20502.4
87,7,0.87,0.063,10405.199999999999
87,8,0.88,0.067,6723.199999999994
87,9,0.89,0.071,2954.800000000003
87,10,0.93,0.086,-11978.400000000003
88,1,0.79,0.014,51255.2
88,2,0.81,0.015,51678.0
88,3,0.82,0.018,49659.200000000004
88,4,0.83,0.019,49368.4
88,5,0.86,0.034,37220.799999999996
88,6,0.88,0.035,37135.99999999999
88,7,0.91,0.048,25625.6
88,8,0.93,0.052,22171.2
88,9,0.94,0.055,19364.0
88,10,0.95,0.063,11361.999999999998
89,1,0.75,0.011,51090.0
89,2,0.76,0.012,50950.4
89,3,0.77,0.016,48294.4
89,4,0.78,0.021,44709.6
89,5,0.85,0.029,41378.0
89,6,0.87,0.03,41412.0
89,7,0.9,0.035,37979.99999999999
89,8,0.91,0.038,35453.6
89,9,0.93,0.04,34224.0
89,10,0.95,0.059,15466.000000000002
90,1,0.7,0.031,32564.0
90,2,0.75,0.039,28409.999999999996
90,3,0.82,0.045,25747.999999999996
90,4,0.84,0.053,19118.4
90,5,0.85,0.056,16591.999999999996
90,6,0.86,0.076,-1788.7999999999988
90,7,0.87,0.081,-6507.6
90,8,0.88,0.082,-7532.80000000001
90,9,0.89,0.083,-8579.60000000001
90,10,0.9,0.088,-13535.999999999998
91,1,0.76,0.004,57516.799999999996
91,2,0.8,0.008,57088.00000000001
91,3,0.85,0.016,53312.0
91,4,0.88,0.018,53292.8
91,5,0.89,0.022,50053.6
91,6,0.9,0.023,49644.0
91,7,0.91,0.024,49212.8
91,8,0.92,0.029,44785.6
91,9,0.94,0.046,28500.8
91,10,0.96,0.053,21849.600000000002
92,1,0.76,0.012,50950.4
92,2,0.77,0.013,50789.200000000004
92,3,0.78,0.016,48921.6
92,4,0.81,0.02,47304.0
92,5,0.82,0.029,39917.6
92,6,0.84,0.03,39984.0
92,7,0.85,0.053,19346.000000000004
92,8,0.86,0.063,10285.599999999999
92,9,0.92,0.071,3054.4000000000033
92,10,0.95,0.073,1102.0000000000077
93,1,0.81,0.016,50803.2
93,2,0.83,0.035,35025.99999999999
93,3,0.84,0.042,29097.6
93,4,0.89,0.043,29868.399999999998
93,5,0.9,0.045,28259.999999999996
93,6,0.91,0.047,26608.399999999994
93,7,0.92,0.061,12990.399999999994
93,8,0.95,0.068,6231.999999999996
93,9,0.96,0.07,4223.999999999988
93,10,0.99,0.071,3286.8000000000034
94,1,0.75,0.004,56760.0
94,2,0.77,0.014,49957.59999999999
94,3,0.78,0.018,47236.8
94,4,0.8,0.022,44992.0
94,5,0.81,0.031,37681.2
94,6,0.83,0.042,28751.199999999997
94,7,0.86,0.049,23288.799999999996
94,8,0.91,0.05,23659.999999999996
94,9,0.92,0.052,21932.8
94,10,0.94,0.053,21394.4
95,1,0.71,0.009,49898.8
95,2,0.72,0.015,45936.0
95,3,0.73,0.049,19768.399999999994
95,4,0.74,0.052,17641.6
95,5,0.77,0.062,10040.799999999997
95,6,0.79,0.066,6888.799999999994
95,7,0.84,0.074,67.19999999999726
95,8,0.9,0.076,-1871.9999999999986
95,9,0.92,0.082,-7875.200000000011
95,10,0.94,0.085,-11092.000000000005
96,1,0.74,0.006,54404.8
96,2,0.76,0.017,46846.4
96,3,0.8,0.04,29440.0
96,4,0.83,0.045,26061.999999999996
96,5,0.84,0.047,24561.599999999995
96,6,0.9,0.05,23399.999999999996
96,7,0.93,0.051,23175.600000000006
96,8,0.94,0.065,9211.999999999989
96,9,0.96,0.073,1113.6000000000079
96,10,0.97,0.076,-2017.5999999999985
97,1,0.72,0.023,39715.2
97,2,0.77,0.037,30830.8
97,3,0.8,0.043,26848.0
97,4,0.82,0.056,16006.399999999996
97,5,0.83,0.059,13512.400000000001
97,6,0.86,0.06,13072.000000000004
97,7,0.87,0.067,6646.799999999995
97,8,0.91,0.069,4986.7999999999865
97,9,0.93,0.076,-1934.3999999999987
97,10,0.95,0.085,-11210.000000000005
98,1,0.79,0.011,53814.8
98,2,0.81,0.015,51678.0
98,3,0.83,0.023,45782.8
98,4,0.85,0.024,45968.0
98,5,0.86,0.032,39078.4
98,6,0.87,0.034,37653.6
98,7,0.92,0.036,37830.4
98,8,0.94,0.049,25455.199999999993
98,9,0.95,0.056,18543.999999999996
98,10,0.99,0.072,2217.600000000006
99,1,0.75,0.011,51090.0
99,2,0.77,0.013,50789.200000000004
99,3,0.8,0.02,46720.0
99,4,0.84,0.023,46334.4
99,5,0.85,0.026,44132.0
99,6,0.86,0.041,30719.199999999997
99,7,0.89,0.048,25062.399999999998
99,8,0.91,0.049,24642.799999999992
99,9,0.93,0.05,24179.999999999996
99,10,0.94,0.056,18348.799999999996
100,1,0.71,0.016,44531.2
100,2,0.78,0.024,42182.4
100,3,0.8,0.028,39808.0
100,4,0.81,0.04,29808.0
100,5,0.84,0.043,28190.399999999998
100,6,0.86,0.052,20502.4
100,7,0.87,0.053,19801.2
100,8,0.88,0.064,9574.400000000001
100,9,0.9,0.069,4931.999999999986
100,10,0.91,0.084,-9755.200000000006
